user,relevant_count,hits_at_10,recall_at_10,ndcg_at_10
796,194,8,0.0412371,0.766349
801,19,1,0.0526316,0.0783983
807,148,4,0.027027,0.346951
809,10,1,0.1,0.0783983
810,11,0,0,0
816,20,1,0.05,0.0783983
818,13,1,0.0769231,0.0783983
822,10,2,0.2,0.233651
825,1,0,0,0
828,39,0,0,0
829,15,0,0,0
830,67,3,0.0447761,0.215383
831,40,5,0.125,0.507539
834,39,2,0.0512821,0.151762
835,80,4,0.05,0.300526
838,1,0,0,0
840,152,6,0.0394737,0.628165
842,18,1,0.0555556,0.0783983
851,21,0,0,0
852,24,2,0.0833333,0.212226
856,13,1,0.0769231,0.0783983
863,48,1,0.0208333,0.0783983
864,3,0,0,0
866,6,0,0,0
870,16,0,0,0
873,7,1,0.142857,0.0979129
880,26,0,0,0
883,174,6,0.0344828,0.653147
891,19,1,0.0526316,0.0694312
894,2,0,0,0
903,95,5,0.0526316,0.511651
909,21,0,0,0
911,65,1,0.0153846,0.0662542
913,1,0,0,0
915,9,1,0.111111,0.0837249
918,53,1,0.0188679,0.220092
922,57,2,0.0350877,0.136985
924,3,0,0,0
931,39,1,0.025641,0.0783983
932,184,4,0.0217391,0.334709
934,120,1,0.00833333,0.0733639
938,47,2,0.0425532,0.151762
940,2,0,0,0
942,66,2,0.030303,0.158507
